Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
21,Jalen Green,REB,4.5,UNDER,74.9%,B,STRONG BET,71.52,,,UNDER,75.7%,72.24,,UNDER,74.1%,70.7,,UNDER,75.8%,72.34,,UNDER,74.2%,70.82,,-1.58,-0.4,-1.86,-0.3,-0.88,1.6,1.2,0.0077,100.0%
22,Darius Garland,FGA,17.5,UNDER,75.6%,D,STRONG BET,71.38,,,UNDER,77.7%,73.45,,UNDER,74.2%,69.91,,UNDER,76.7%,72.42,,UNDER,74.0%,69.72,,-0.76,-0.43,-1.7,-1.7,-1.27,1.6,1.2,0.016,100.0%
23,Jaylen Brown,STL,1.5,UNDER,72.2%,A,STRONG BET,70.8,,,UNDER,71.0%,69.61,,UNDER,70.9%,69.57,,UNDER,73.4%,72.07,,UNDER,73.3%,71.95,,-0.67,-0.4,-1.0,-0.3,-0.2,1.2,1.2,0.0121,100.0%
24,Victor Wembanyama,STL,1.5,UNDER,70.7%,A,STRONG BET,70.69,,,UNDER,71.5%,71.45,,UNDER,71.4%,71.39,,UNDER,70.0%,70.0,,UNDER,70.0%,69.94,,-0.64,-0.4,0.3,-0.3,-0.18,1.2,1.2,0.0073,100.0%
25,Darius Garland,3PA,8.5,UNDER,72.9%,B,STRONG BET,70.38,,,UNDER,74.0%,71.45,,UNDER,72.8%,70.26,,UNDER,72.9%,70.32,,UNDER,72.0%,69.5,,-0.91,-0.24,-0.69,-0.5,-1.41,1.2,0.8,0.007,100.0%
26,Trey Murphy III,PA,28.5,UNDER,74.4%,D,STRONG BET,70.19,,,UNDER,75.4%,71.24,,UNDER,75.2%,71.07,,UNDER,73.6%,69.38,,UNDER,73.3%,69.08,,-0.81,-0.69,-1.59,-2.3,-0.39,1.6,1.6,0.0097,100.0%
27,Josh Giddey,STL,1.5,UNDER,71.3%,A,STRONG BET,69.8,,,UNDER,71.1%,69.63,,UNDER,71.1%,69.58,,UNDER,71.5%,70.03,,UNDER,71.5%,69.94,,-0.64,-0.4,-1.0,-0.3,-0.18,1.0,1.2,0.002,100.0%
28,Jaylen Brown,TOV,2.5,OVER,67.5%,A,BET,69.46,,,OVER,67.9%,69.78,,OVER,67.0%,68.95,,OVER,68.1%,70.02,,OVER,67.2%,69.1,,-0.8,-0.81,3.0,-1.1,0.02,1.6,1.6,0.0045,100.0%
29,Jaylen Wells,3PM,2.5,UNDER,68.9%,S,BET,69.38,,,UNDER,66.3%,66.81,,UNDER,66.4%,66.88,,UNDER,71.5%,71.97,,UNDER,71.4%,71.87,,-0.94,0.79,0.2,0.5,-1.09,1.0,0.4,0.0254,100.0%
30,LeBron James,STL,1.5,UNDER,68.8%,A,BET,69.33,,,UNDER,69.0%,69.55,,UNDER,69.0%,69.54,,UNDER,68.6%,69.13,,UNDER,68.5%,69.09,,-0.38,0.31,-0.0,0.3,-0.67,1.0,0.4,0.0022,100.0%
31,Devin Booker,REB,4.5,UNDER,67.9%,B,STRONG BET,69.18,,,UNDER,68.7%,69.92,,UNDER,67.2%,68.45,,UNDER,68.6%,69.89,,UNDER,67.2%,68.47,,-0.33,-0.07,0.75,-0.1,-0.4,1.4,1.2,0.0072,100.0%
32,Stephon Castle,STL,1.5,UNDER,72.5%,A,STRONG BET,68.94,,,UNDER,66.6%,63.13,,UNDER,66.7%,63.17,,UNDER,78.3%,74.83,,UNDER,78.1%,74.63,,-0.68,-3.25,-0.9,-1.3,1.03,1.6,2.0,0.058,100.0%
33,Jalen Suggs,AST,6.5,UNDER,73.0%,C,STRONG BET,68.77,,,UNDER,74.0%,69.77,,UNDER,72.5%,68.27,,UNDER,73.4%,69.21,,UNDER,72.0%,67.85,,-0.58,-0.83,-3.0,-1.7,0.53,1.4,1.6,0.0076,100.0%
