stat,feature_mode,calibration_set,bt_tight_rows,0.50-0.55_n,0.50-0.55_acc,0.50-0.55_avg_conf,0.55-0.60_n,0.55-0.60_acc,0.55-0.60_avg_conf,0.60-0.65_n,0.60-0.65_acc,0.60-0.65_avg_conf,0.65-0.70_n,0.65-0.70_acc,0.65-0.70_avg_conf,0.70-0.80_n,0.70-0.80_acc,0.70-0.80_avg_conf,0.80-0.90_n,0.80-0.90_acc,0.80-0.90_avg_conf,0.90-1.00_n,0.90-1.00_acc,0.90-1.00_avg_conf,p99_conf,max_conf
FGA,full,ALL,7892,2552,0.5270376175548589,0.5249281618180822,2339,0.5737494655835828,0.573896293441867,1710,0.632748538011696,0.6231535258338718,933,0.6977491961414791,0.6710221138446149,354,0.7429378531073446,0.7280937738834075,4,1.0,0.8061982301552153,0,,,0.7452598344782837,0.81345168211023
FGA,full,TIGHT,7892,3005,0.540099833610649,0.524807739550993,2570,0.5910505836575876,0.5731877762140646,1618,0.6520395550061805,0.6223153872014768,564,0.7287234042553191,0.6695776312700448,135,0.7407407407407407,0.7206908453608607,0,,,0,,,0.7119274189708348,0.7754943422902331
FGA,reduced,ALL,7892,2798,0.5275196568977841,0.524660821361618,2448,0.5772058823529411,0.5738076087147026,1591,0.6348208673790069,0.6230415667326848,767,0.6805736636245111,0.6705193762746093,288,0.7569444444444444,0.7261732343194084,0,,,0,,,0.7372271835840325,0.7970667883057153
FGA,reduced,TIGHT,7892,3201,0.5257731958762887,0.5247744542016278,2532,0.6015007898894155,0.5731920941614396,1490,0.6563758389261745,0.6220584899452923,545,0.7137614678899082,0.6692840282745244,124,0.7258064516129032,0.722253758607416,0,,,0,,,0.711854600234812,0.7680311375267593
FGM,full,ALL,7271,1846,0.5254604550379198,0.5249364087968009,1771,0.5652173913043478,0.5746310748864041,1521,0.6344510190664037,0.6241720291011742,1133,0.6849073256840247,0.67296793771296,981,0.7380224260958206,0.7354918803499523,19,0.8421052631578947,0.8138502190927073,0,,,0.7798935774073075,0.8551523609093997
FGM,full,TIGHT,7271,1872,0.5272435897435898,0.5245859210406885,1818,0.5715071507150715,0.5745873911057816,1510,0.6304635761589404,0.624096818414757,1119,0.6899016979445934,0.6729066681857095,937,0.7427961579509071,0.7350722042449358,15,0.8666666666666667,0.8135016651221878,0,,,0.7770354015858856,0.8511749198570587
FGM,reduced,ALL,7271,1801,0.5441421432537479,0.524979096191517,1775,0.5695774647887324,0.5746866033234657,1493,0.6262558606831882,0.6235434022020323,1119,0.6818588025022342,0.6734600478916519,1048,0.7471374045801527,0.7375129173688378,35,0.7428571428571429,0.812613660676226,0,,,0.7895980159529888,0.8303843895333903
FGM,reduced,TIGHT,7271,1851,0.5370070232306862,0.524949849390337,1787,0.5780637940682708,0.5746840199069608,1503,0.624750499001996,0.6234988062351746,1084,0.683579335793358,0.67338652811107,1014,0.7514792899408284,0.7366118436972747,32,0.75,0.810339225046435,0,,,0.7867142655868316,0.826753000301796
3PM,full,ALL,6232,1057,0.5231788079470199,0.5250687570896089,1017,0.5614552605703048,0.5749152304148252,966,0.639751552795031,0.6247825178040406,899,0.6840934371523916,0.6744131669136612,1507,0.7471798274717982,0.7476941919894428,664,0.8704819277108434,0.833537516699853,122,0.9918032786885246,0.9284016695832256,0.9323709256362116,0.9372522809633784
3PM,full,TIGHT,6232,1065,0.5154929577464789,0.5249500519359465,1014,0.5571992110453649,0.574426174119175,971,0.646755921730175,0.6245068981723547,907,0.6868798235942668,0.6746874259208857,1495,0.745819397993311,0.7478145829347926,659,0.8710166919575114,0.8329792619642096,121,0.9917355371900828,0.9274712949541932,0.9312155374722632,0.9361219174885242
3PM,reduced,ALL,6232,1098,0.4954462659380692,0.5251177658807848,1015,0.5635467980295567,0.5739691689800808,945,0.6423280423280423,0.6248792820684906,892,0.7017937219730942,0.6752207723963949,1550,0.7393548387096774,0.7472436697403942,630,0.8650793650793651,0.8326889915964473,102,1.0,0.9270294268620298,0.9286475626419702,0.9329041611189924
3PM,reduced,TIGHT,6232,1131,0.497789566755084,0.5252186224884827,1006,0.5606361829025845,0.5738716254806083,951,0.6435331230283912,0.6248441735379388,893,0.7110862262038073,0.6755228733417079,1541,0.7391304347826086,0.7469357285665186,609,0.8686371100164204,0.8314039502757246,101,1.0,0.9247432020083596,0.9261180780410349,0.9304286737215156
